ledger_id,output_table,row_key,field,value,definition,denominator,rounding,source_path,source_sha256,source_record,period_role,population_boundary,claim_class,required_labels
DEV-0011,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__pytorch_mlp__epochs_200__003,pooled_oof_pr_auc,0.3970885127758261,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__pytorch_mlp__epochs_200__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0012,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__pytorch_mlp__epochs_200__003,pooled_oof_roc_auc,0.7472156359618767,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__pytorch_mlp__epochs_200__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0013,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__rbf_svm__004,rank,5,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__rbf_svm__004,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0014,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__rbf_svm__004,pooled_oof_pr_auc,0.3935576792324612,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__rbf_svm__004,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0015,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__rbf_svm__004,pooled_oof_roc_auc,0.7360289980628015,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__rbf_svm__004,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0016,tables/01_development_family_ranking.csv,development|model_stage_v1__qnn_q2__t0,rank,6,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__qnn_q2__t0,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0017,tables/01_development_family_ranking.csv,development|model_stage_v1__qnn_q2__t0,pooled_oof_pr_auc,0.38394764812793286,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__qnn_q2__t0,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0018,tables/01_development_family_ranking.csv,development|model_stage_v1__qnn_q2__t0,pooled_oof_roc_auc,0.7405838475896125,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__qnn_q2__t0,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0019,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__elastic_net_logistic__003,rank,7,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__elastic_net_logistic__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0020,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__elastic_net_logistic__003,pooled_oof_pr_auc,0.38182578577644466,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__elastic_net_logistic__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0021,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__elastic_net_logistic__003,pooled_oof_roc_auc,0.7401343252780863,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__elastic_net_logistic__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0022,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__fixed_l2_logistic__002,rank,8,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__fixed_l2_logistic__002,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0023,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__fixed_l2_logistic__002,pooled_oof_pr_auc,0.38165485192849713,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__fixed_l2_logistic__002,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0024,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__fixed_l2_logistic__002,pooled_oof_roc_auc,0.7387039226718324,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__fixed_l2_logistic__002,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0025,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__dummy_prior__001,rank,9,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__dummy_prior__001,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0026,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__dummy_prior__001,pooled_oof_pr_auc,0.1722831509228104,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__dummy_prior__001,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0027,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__dummy_prior__001,pooled_oof_roc_auc,0.46256921886072344,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__dummy_prior__001,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
PROT-0028,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,year,2021,Feature/prediction year.,not applicable,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0029,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,n,1806,Number of evaluable company-year observations.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0030,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,positive_n,442,Number of positive target labels.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0031,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,average_precision,0.24473975636766335,"Average precision, historically labelled PR-AUC.",aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0032,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,roc_auc,0.5,ROC-AUC.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0033,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,brier_score,0.19090250109863055,Mean squared probabilistic forecast error.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0034,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,f1_frozen_threshold,0.0,F1 at the frozen development threshold.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0035,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,precision_frozen_threshold,0.0,Precision at the frozen development threshold.,predicted positives,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0036,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,recall_frozen_threshold,0.0,Recall at the frozen development threshold.,positive labels,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0037,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,average_precision_ci_lower,0.2248062015503876,Lower 2.5th percentile clustered-bootstrap AP bound.,economic_group_id clustered bootstrap,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0038,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,average_precision_ci_upper,0.26411960132890366,Upper 97.5th percentile clustered-bootstrap AP bound.,economic_group_id clustered bootstrap,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0039,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,roc_auc_ci_lower,0.5,Lower 2.5th percentile clustered-bootstrap ROC-AUC bound.,economic_group_id clustered bootstrap,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0040,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,roc_auc_ci_upper,0.5,Upper 97.5th percentile clustered-bootstrap ROC-AUC bound.,economic_group_id clustered bootstrap,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0041,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,f1_ci_lower,0.0,Lower 2.5th percentile clustered-bootstrap F1 bound.,economic_group_id clustered bootstrap,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0042,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,f1_ci_upper,0.0,Upper 97.5th percentile clustered-bootstrap F1 bound.,economic_group_id clustered bootstrap,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0043,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,bootstrap_replicates,2000,Requested clustered-bootstrap replicates.,economic_group_id clusters,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0044,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__dummy_prior__001,bootstrap_valid_replicates,2000,Valid non-degenerate clustered-bootstrap replicates.,requested bootstrap replicates,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0045,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,year,2021,Feature/prediction year.,not applicable,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0046,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,n,1806,Number of evaluable company-year observations.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0047,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,positive_n,442,Number of positive target labels.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0048,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,average_precision,0.49623749247215027,"Average precision, historically labelled PR-AUC.",aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0049,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,roc_auc,0.7691378829898754,ROC-AUC.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0050,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,brier_score,0.16010798371240603,Mean squared probabilistic forecast error.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0051,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,f1_frozen_threshold,0.5587939698492462,F1 at the frozen development threshold.,aligned available-label observations,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0052,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,precision_frozen_threshold,0.5027124773960217,Precision at the frozen development threshold.,predicted positives,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
PROT-0053,tables/02_protected_period_metrics.csv,spent_development|2021|model_stage_v1__coarse__elastic_net_logistic__003,recall_frozen_threshold,0.6289592760180995,Recall at the frozen development threshold.,positive labels,source precision; recommended display 4 decimals for metrics,reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6],spent_development,design-exposed/spent development,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation
